"Name","Team","Season","GP","TOI","W","L","OL","ROW","Points","Points%","GF","GA","GÂ±","Sh%","Sv%"
"Blackhawks","CHI","12-13",48,2945.4,36,7,5,30,77,80.2,155,102,53,10,92.3
"Lightning","T.B","18-19",82,4979.6,62,16,4,56,128,78,325,222,103,12.2,91.6
"Penguins","PIT","12-13",48,2898.4,36,12,0,33,72,75,165,119,46,11.3,91.5
"Capitals","WSH","15-16",82,4982.7,56,18,8,52,120,73.2,252,193,59,9.9,91.8
"Capitals","WSH","16-17",82,4973.1,55,19,8,53,118,72,263,182,81,10.5,92.2
"Canucks","VAN","10-11",82,4984.9,54,19,9,50,117,71.3,262,185,77,9.8,92.7
"Bruins","BOS","13-14",82,4978.8,54,19,9,51,117,71.3,261,177,84,9.9,92.8
"Predators","NSH","17-18",82,5006.7,53,18,11,47,117,71.3,267,211,56,9.9,92.3
"Ducks","ANA","13-14",82,4991,54,20,8,51,116,70.7,266,209,57,10.3,91.4
"Jets","WPG","17-18",82,4982.2,52,20,10,48,114,69.5,277,218,59,10.3,91.7
"Rangers","NYR","14-15",82,4983.1,53,22,7,49,113,68.9,252,192,60,9.6,92.3
"Lightning","T.B","17-18",82,4979.6,54,23,5,48,113,68.9,296,236,60,10.8,91.3
"Ducks","ANA","12-13",48,2936.3,30,12,6,24,66,68.8,140,118,22,9.9,91.4
"Avalanche","COL","13-14",82,5003,52,22,8,47,112,68.3,250,220,30,10.1,91.9
"Bruins","BOS","17-18",82,4982.4,50,20,12,47,112,68.3,270,214,56,9.9,91.2
"Canucks","VAN","11-12",82,5021.9,51,22,9,43,111,67.7,249,198,51,9.3,92.4
"Blues","STL","13-14",82,5002,52,23,7,43,111,67.7,248,191,57,9.9,91.3
"Sharks","S.J","13-14",82,5021,51,22,9,41,111,67.7,249,200,49,8.4,91.5
"Penguins","PIT","16-17",82,4989.8,50,21,11,46,111,67.7,282,234,48,10.1,91.4
"Canadiens","MTL","14-15",82,5007.1,50,22,10,43,110,67.1,221,189,32,9.2,92.6
"Rangers","NYR","11-12",82,4998,51,24,7,47,109,66.5,226,187,39,9.5,92
"Blues","STL","11-12",82,5002.1,49,22,11,45,109,66.5,210,165,45,8.2,92.9
"Penguins","PIT","13-14",82,4986.9,51,24,7,44,109,66.5,249,207,42,9.9,91.4
"Ducks","ANA","14-15",82,5002.7,51,24,7,43,109,66.5,236,226,10,9.3,90.7
"Blues","STL","14-15",82,5003.4,51,24,7,42,109,66.5,248,201,47,9.4,91.2
"Stars","DAL","15-16",82,4968.4,50,23,9,48,109,66.5,267,230,37,10.1,90.4
"Blackhawks","CHI","16-17",82,4980,50,23,9,46,109,66.5,244,213,31,9.6,91.8
"Golden Knights","VGK","17-18",82,4985.7,51,24,7,47,109,66.5,272,228,44,10,91.1
"Penguins","PIT","11-12",82,4995.6,51,25,6,42,108,65.9,282,221,61,9.8,90.3
"Lightning","T.B","14-15",82,4977,50,24,8,47,108,65.9,262,211,51,10.7,91
"Blue Jackets","CBJ","16-17",82,4969.7,50,24,8,48,108,65.9,249,195,54,9.7,92.2
"Canadiens","MTL","12-13",48,2918.7,29,14,5,26,63,65.6,149,126,23,9.9,90.4
"Capitals","WSH","10-11",82,4950.6,48,23,11,43,107,65.2,224,197,27,8.5,91.9
"Blackhawks","CHI","13-14",82,5007.4,46,21,15,40,107,65.2,267,220,47,9.6,90.5
"Blues","STL","15-16",82,5005.1,49,24,9,44,107,65.2,224,201,23,8.9,91.9
"Flames","CGY","18-19",82,4950.9,50,25,7,50,107,65.2,289,227,62,10.9,90.3
"Bruins","BOS","18-19",82,4983.5,49,24,9,47,107,65.2,259,215,44,9.6,91.2
"Flyers","PHI","10-11",82,4988.3,47,23,12,44,106,64.6,259,223,36,9.8,91.3
"Penguins","PIT","10-11",82,5016.1,49,25,8,39,106,64.6,238,199,39,8.8,91.7
"Bruins","BOS","12-13",48,2923.1,28,14,6,24,62,64.6,131,109,22,8.2,92.3
"Wild","MIN","16-17",82,4967.4,49,25,8,46,106,64.6,266,208,58,10.4,91.6
"Sharks","S.J","10-11",82,4998.8,48,25,9,43,105,64,248,213,35,8.6,91.2
"Ducks","ANA","16-17",82,4979.8,46,23,13,43,105,64,223,200,23,9.1,91.9
"Capitals","WSH","17-18",82,4975.1,49,26,7,46,105,64,259,239,20,10.8,90.9
"Maple Leafs","TOR","17-18",82,4988.1,49,26,7,42,105,64,277,232,45,10.2,91.7
"Red Wings","DET","10-11",82,5004.6,47,25,10,43,104,63.4,261,241,20,9.3,90.6
"Predators","NSH","11-12",82,4982.7,48,26,8,43,104,63.4,237,210,27,10.3,91.9
"Predators","NSH","14-15",82,5010.1,47,25,10,41,104,63.4,232,208,24,8.6,91.3
"Penguins","PIT","15-16",82,4984.7,48,26,8,44,104,63.4,245,203,42,8.9,91.8
"Capitals","WSH","18-19",82,4977.8,48,26,8,44,104,63.4,278,249,29,11,90.4
"Bruins","BOS","10-11",82,4980.1,46,25,11,44,103,62.8,246,195,51,9.1,93
"Lightning","T.B","10-11",82,5013.2,46,25,11,40,103,62.8,247,240,7,9.2,90.1
"Flyers","PHI","11-12",82,5002,47,26,9,43,103,62.8,264,232,32,9.8,90.3
"Blackhawks","CHI","15-16",82,4972.6,47,26,9,46,103,62.8,235,209,26,9.4,91.8
"Ducks","ANA","15-16",82,4977,46,25,11,43,103,62.8,218,192,26,8.7,91.7
"Panthers","FLA","15-16",82,4986.2,47,26,9,40,103,62.8,239,203,36,9.8,91.7
"Canadiens","MTL","16-17",82,4987.4,47,26,9,44,103,62.8,226,200,26,9.1,91.8
"Oilers","EDM","16-17",82,4991.1,47,26,9,43,103,62.8,247,212,35,9.5,91.4
"Islanders","NYI","18-19",82,4983.2,48,27,7,43,103,62.8,228,196,32,9.4,92.5
"Blues","STL","12-13",48,2919.8,29,17,2,24,60,62.5,129,115,14,9.3,90.2
"Bruins","BOS","11-12",82,4988.9,49,29,4,40,102,62.2,269,202,67,9.8,91.8
"Red Wings","DET","11-12",82,4999.3,48,28,6,39,102,62.2,248,203,45,9.1,91
"Devils","N.J","11-12",82,5013.5,48,28,6,36,102,62.2,228,209,19,9.6,90.7
"Blackhawks","CHI","14-15",82,4994.2,48,28,6,39,102,62.2,229,189,40,7.9,92.5
"Kings","L.A","15-16",82,4984.6,48,28,6,46,102,62.2,225,195,30,8.5,91.5
"Rangers","NYR","16-17",82,4974.2,48,28,6,45,102,62.2,256,220,36,10.4,91.2
"Blackhawks","CHI","11-12",82,5016.2,45,26,11,38,101,61.6,248,238,10,9.3,90.1
"Lightning","T.B","13-14",82,5013.1,46,27,9,38,101,61.6,240,215,25,9.5,91.3
"Canucks","VAN","14-15",82,4979.8,48,29,5,42,101,61.6,242,222,20,9.6,91
"Capitals","WSH","14-15",82,5001.9,45,26,11,40,101,61.6,242,203,39,9.8,91.6
"Islanders","NYI","14-15",82,5007.9,47,28,7,40,101,61.6,252,230,22,8.9,90.3
"Rangers","NYR","15-16",82,4974.5,46,27,9,43,101,61.6,236,217,19,10,91.4
"Wild","MIN","17-18",82,4978.9,45,26,11,42,101,61.6,253,232,21,10.1,91.1
"Ducks","ANA","17-18",82,5002.3,44,25,13,40,101,61.6,235,216,19,9.3,92.3
"Sharks","S.J","18-19",82,4962.1,46,27,9,46,101,61.6,289,261,28,10.7,88.9
"Kings","L.A","12-13",48,2917.2,27,16,5,25,59,61.5,133,118,15,9.2,90.5
"Canucks","VAN","12-13",48,2943.7,26,15,7,21,59,61.5,127,121,6,9,91.7
"Canadiens","MTL","13-14",82,4991.6,46,28,8,40,100,61,215,204,11,9,92.1
"Kings","L.A","13-14",82,5001.5,46,28,8,38,100,61,206,174,32,7.6,92.2
"Wild","MIN","14-15",82,4973.5,46,28,8,42,100,61,231,201,30,9,91.3
"Red Wings","DET","14-15",82,5017.6,43,25,14,39,100,61,235,221,14,9.5,90.9
"Islanders","NYI","15-16",82,5005,45,27,10,40,100,61,232,216,16,9.4,91.5
"Penguins","PIT","17-18",82,4966.3,47,29,6,45,100,61,272,250,22,9.6,90.3
"Sharks","S.J","17-18",82,4985.4,45,27,10,40,100,61,252,229,23,9.1,90.9
"Maple Leafs","TOR","18-19",82,4958.2,46,28,8,46,100,61,286,251,35,10.4,90.8
"Predators","NSH","18-19",82,4967.4,47,29,6,43,100,61,240,214,26,8.8,91.4
"Penguins","PIT","18-19",82,4981.5,44,26,12,42,100,61,273,241,32,9.9,91.3
"Ducks","ANA","10-11",82,4992.7,47,30,5,43,99,60.4,239,235,4,10.1,91.2
"Predators","NSH","10-11",82,4994.2,44,27,11,38,99,60.4,219,194,25,9,92.4
"Coyotes","ARI","10-11",82,4995.5,43,26,13,38,99,60.4,231,226,5,9.1,91.8
"Senators","OTT","14-15",82,5026.4,43,26,13,37,99,60.4,238,215,23,9.1,92.1
"Jets","WPG","14-15",82,5009.8,43,26,13,36,99,60.4,230,210,20,9.1,91.3
"Blues","STL","16-17",82,4964.6,46,29,7,44,99,60.4,235,218,17,10,90.7
"Sharks","S.J","16-17",82,4955.9,46,29,7,44,99,60.4,221,201,20,8.9,91.2
"Jets","WPG","18-19",82,4966.7,47,30,5,45,99,60.4,272,244,28,10.6,91.1
"Hurricanes","CAR","18-19",82,4957.9,46,29,7,44,99,60.4,245,223,22,8.6,90.6
"Blues","STL","18-19",82,4981,45,28,9,42,99,60.4,247,223,24,9.4,90.6
"Kings","L.A","10-11",82,4993.8,46,30,6,36,98,59.8,219,198,21,8.8,91.4
"Wild","MIN","13-14",82,5020,43,27,12,35,98,59.8,207,206,1,9.1,91.3
"Penguins","PIT","14-15",82,5001.6,43,27,12,39,98,59.8,221,210,11,8.4,91.5
"Sharks","S.J","15-16",82,4975.9,46,30,6,42,98,59.8,241,210,31,9.5,90.8
"Senators","OTT","16-17",82,4994,44,28,10,38,98,59.8,212,214,-2,8.4,91.5
"Kings","L.A","17-18",82,4982.5,45,29,8,43,98,59.8,239,203,36,9.3,92
"Flyers","PHI","17-18",82,4996.9,42,26,14,40,98,59.8,251,243,8,9.5,90.4
"Blue Jackets","CBJ","18-19",82,4953.4,47,31,4,45,98,59.8,258,232,26,9.9,90.4
"Maple Leafs","TOR","12-13",48,2911.2,26,17,5,26,57,59.4,145,133,12,11.5,91.7
"Capitals","WSH","12-13",48,2909.5,27,18,3,24,57,59.4,149,130,19,10.8,91.6
"Sharks","S.J","12-13",48,2948.3,25,16,7,17,57,59.4,124,116,8,7.6,91.9
"Blackhawks","CHI","10-11",82,5000.2,44,29,9,38,97,59.1,258,225,33,9.6,90.7
"Coyotes","ARI","11-12",82,5012,42,27,13,36,97,59.1,216,204,12,8.6,92.5
"Flames","CGY","14-15",82,4991,45,30,7,41,97,59.1,241,216,25,10.6,91.1
"Lightning","T.B","15-16",82,4966.7,46,31,5,43,97,59.1,227,201,26,9.3,91.6
"Blue Jackets","CBJ","17-18",82,4995.4,45,30,7,39,97,59.1,242,230,12,8.5,91.2
"Devils","N.J","17-18",82,4989.8,44,29,9,39,97,59.1,248,244,4,9.3,90.8
"Canadiens","MTL","10-11",82,4974,44,30,8,41,96,58.5,216,209,7,8.2,91.9
"Sabres","BUF","10-11",82,4999.1,43,29,10,38,96,58.5,245,229,16,8.9,90.9
"Sharks","S.J","11-12",82,5018,43,29,10,34,96,58.5,228,210,18,7.9,91.3
"Rangers","NYR","13-14",82,4966.9,45,31,6,41,96,58.5,218,193,25,7.9,92.1
"Bruins","BOS","14-15",82,5025.3,41,27,14,37,96,58.5,213,211,2,8.2,91.8
"Flyers","PHI","15-16",82,5012.6,41,27,14,38,96,58.5,214,218,-4,8.3,91.7
"Predators","NSH","15-16",82,4980.2,41,27,14,37,96,58.5,228,215,13,8.9,90.5
"Panthers","FLA","17-18",82,4972.5,44,30,8,41,96,58.5,248,246,2,8.7,91.4
"Canadiens","MTL","18-19",82,4957.7,44,30,8,41,96,58.5,249,236,13,8.8,90.7
"Rangers","NYR","12-13",48,2927.2,26,18,4,22,56,58.3,130,112,18,8.5,92
"Red Wings","DET","12-13",48,2927.7,24,16,8,22,56,58.3,124,115,9,8.4,91.7
"Senators","OTT","12-13",48,2931.5,25,17,6,21,56,58.3,116,104,12,7.1,93.3
"Stars","DAL","10-11",82,5002.2,42,29,11,37,95,57.9,227,233,-6,9.8,91
"Kings","L.A","11-12",82,5018.4,40,27,15,34,95,57.9,194,179,15,7.5,92.4
"Kings","L.A","14-15",82,4990.7,40,27,15,38,95,57.9,220,205,15,8.6,91.1
"Bruins","BOS","16-17",82,4964.1,44,31,7,42,95,57.9,234,212,22,8.5,90.5
"Maple Leafs","TOR","16-17",82,4991.7,40,27,15,39,95,57.9,251,242,9,9.6,91.2
"Avalanche","COL","17-18",82,4962.2,43,30,9,41,95,57.9,257,237,20,10.5,91.4
"Flames","CGY","10-11",82,5018.7,41,29,12,32,94,57.3,250,237,13,9.6,90.2
"Panthers","FLA","11-12",82,5025.8,38,26,18,32,94,57.3,203,227,-24,8.1,91.4
"Wild","MIN","12-13",48,2919.8,26,19,3,22,55,57.3,122,127,-5,8.5,90.4
"Islanders","NYI","12-13",48,2927.3,24,17,7,20,55,57.3,139,139,0,9.1,89.9
"Blue Jackets","CBJ","12-13",48,2949.9,24,17,7,19,55,57.3,120,119,1,9,92
"Flyers","PHI","13-14",82,4991.7,42,30,10,39,94,57.3,236,235,1,9.4,90.9
"Flames","CGY","16-17",82,4973.9,45,33,4,41,94,57.3,226,221,5,9.3,90.7
"Predators","NSH","16-17",82,4985.8,41,29,12,39,94,57.3,240,224,16,9.3,91.1
"Islanders","NYI","16-17",82,4978.6,41,29,12,39,94,57.3,241,242,-1,9.6,90.9
"Lightning","T.B","16-17",82,4988.1,42,30,10,38,94,57.3,234,227,7,9.4,91
"Blues","STL","17-18",82,4966.9,44,32,6,41,94,57.3,226,222,4,8.3,90.9
"Rangers","NYR","10-11",82,4991.8,44,33,5,35,93,56.7,233,198,35,9.1,91.9
"Blue Jackets","CBJ","13-14",82,4976.8,43,32,7,38,93,56.7,231,216,15,9.3,91.5
"Red Wings","DET","13-14",82,5026.5,39,28,15,34,93,56.7,222,230,-8,8.9,90.8
"Red Wings","DET","15-16",82,4992.9,41,30,11,39,93,56.7,211,224,-13,8.6,91
"Bruins","BOS","15-16",82,4978.5,42,31,9,38,93,56.7,240,230,10,9,90.9
"Stars","DAL","18-19",82,4962.6,43,32,7,42,93,56.7,210,202,8,8.3,92.3
"Golden Knights","VGK","18-19",82,4959.5,43,32,7,40,93,56.7,249,230,19,8.7,90.5
"Capitals","WSH","11-12",82,4985.8,42,32,8,38,92,56.1,222,230,-8,9.5,90.9
"Senators","OTT","11-12",82,4995.3,41,31,10,35,92,56.1,249,240,9,9.4,91
"Stars","DAL","14-15",82,4977.6,41,31,10,37,92,56.1,261,260,1,10,89.5
"Stars","DAL","17-18",82,4981.2,42,32,8,38,92,56.1,235,225,10,9,90.9
"Hurricanes","CAR","10-11",82,4936.7,40,31,11,35,91,55.5,236,239,-3,9.3,91.4
"Stars","DAL","13-14",82,4991.3,40,31,11,36,91,55.5,235,228,7,8.9,91.1
"Panthers","FLA","14-15",82,5022.8,38,29,15,30,91,55.5,206,223,-17,7.9,91.2
"Flames","CGY","11-12",82,5008.1,37,29,16,34,90,54.9,202,226,-24,8.8,91.4
"Capitals","WSH","13-14",82,5037.1,38,30,14,28,90,54.9,235,240,-5,9.3,91.7
"Avalanche","COL","14-15",82,5014.9,39,31,12,29,90,54.9,219,227,-8,9.1,91.8
"Avalanche","COL","18-19",82,4972.7,38,30,14,36,90,54.9,260,246,14,9.6,90.7
"Stars","DAL","11-12",82,4989,42,35,5,35,89,54.3,211,222,-11,8.8,91.4
"Sabres","BUF","11-12",82,5010.6,39,32,11,32,89,54.3,218,230,-12,8.8,91.3
"Coyotes","ARI","13-14",82,5016.4,37,30,15,31,89,54.3,216,231,-15,8.4,91.2
"Sharks","S.J","14-15",82,4981.6,40,33,9,36,89,54.3,228,232,-4,8.6,90.7
"Blue Jackets","CBJ","14-15",82,4998.1,42,35,5,33,89,54.3,236,250,-14,9.6,91
"Avalanche","COL","11-12",82,5006.5,41,35,6,32,88,53.7,208,220,-12,7.7,91
"Predators","NSH","13-14",82,4989.9,38,32,12,36,88,53.7,216,242,-26,9,90.1
"Devils","N.J","13-14",82,5014.6,35,29,18,35,88,53.7,197,208,-11,9,90.7
"Senators","OTT","13-14",82,5008.7,37,31,14,30,88,53.7,236,265,-29,8.5,90.9
"Flyers","PHI","16-17",82,5007.7,39,33,10,32,88,53.7,219,236,-17,8.2,90.1
"Jets","WPG","12-13",48,2917.4,24,21,3,22,51,53.1,128,144,-16,9.1,90.1
"Coyotes","ARI","12-13",48,2945.2,21,18,9,17,51,53.1,125,131,-6,8.2,91.5
"Blues","STL","10-11",82,4987.8,38,33,11,34,87,53,240,234,6,9.5,90
"Wild","MIN","15-16",82,4978.5,38,33,11,35,87,53,216,206,10,9,91.3
"Jets","WPG","16-17",82,4964.8,40,35,7,37,87,53,249,256,-7,10,90
"Hurricanes","CAR","16-17",82,4993.1,36,31,15,33,87,53,215,236,-21,8.5,90.1
"Wild","MIN","10-11",82,4985.2,39,35,8,36,86,52.4,206,233,-27,9.5,91.3
"Hurricanes","CAR","15-16",82,5004.6,35,31,16,33,86,52.4,198,226,-28,8,90.2
"Kings","L.A","16-17",82,4978.5,39,35,8,37,86,52.4,201,205,-4,7.8,90.5
"Coyotes","ARI","18-19",82,4980.4,39,35,8,35,86,52.4,213,223,-10,8.3,91.3
"Panthers","FLA","18-19",82,4999.2,36,32,14,33,86,52.4,267,280,-13,9.8,89.2
"Maple Leafs","TOR","10-11",82,4994.7,37,34,11,32,85,51.8,218,251,-33,9,90.4
"Senators","OTT","15-16",82,5003.6,38,35,9,32,85,51.8,236,247,-11,9.9,91
"Lightning","T.B","11-12",82,4991,38,36,8,35,84,51.2,235,281,-46,10.4,88.9
"Jets","WPG","11-12",82,4985.5,37,35,10,33,84,51.2,225,246,-21,8.9,90.2
"Jets","WPG","13-14",82,5013,37,35,10,29,84,51.2,227,237,-10,8.7,90.7
"Maple Leafs","TOR","13-14",82,5007.2,38,36,8,29,84,51.2,231,256,-25,9.7,91.4
"Flyers","PHI","14-15",82,5021.4,33,31,18,30,84,51.2,215,234,-19,8.8,91
"Devils","N.J","15-16",82,4991.3,38,36,8,36,84,51.2,184,208,-24,9.1,91.4
"Flames","CGY","17-18",82,4979.8,37,35,10,35,84,51.2,218,248,-30,7.8,90.5
"Blackhawks","CHI","18-19",82,4979.3,36,34,12,33,84,51.2,270,292,-22,10,89.8
"Flyers","PHI","12-13",48,2900.9,23,22,3,22,49,51,133,141,-8,9.5,89.9
"Hurricanes","CAR","13-14",82,4979.1,36,35,11,34,83,50.6,207,230,-23,8,91.1
"Canucks","VAN","13-14",82,5007.9,36,35,11,31,83,50.6,196,223,-27,7.6,90.7
"Hurricanes","CAR","17-18",82,4982,36,35,11,33,83,50.6,228,256,-28,8.1,89.3
"Wild","MIN","18-19",82,4968.1,37,36,9,36,83,50.6,211,237,-26,8.2,90.4
"Hurricanes","CAR","11-12",82,4988.7,33,33,16,32,82,50,213,243,-30,8.5,91.1
"Stars","DAL","12-13",48,2906.1,22,22,4,20,48,50,130,142,-12,10.2,90.5
"Devils","N.J","12-13",48,2937.8,19,19,10,17,48,50,112,129,-17,8.1,89
"Sabres","BUF","12-13",48,2946.1,21,21,6,14,48,50,125,143,-18,8.8,91.3
"Avalanche","COL","15-16",82,4958.5,39,39,4,35,82,50,216,240,-24,9,90.9
"Canadiens","MTL","15-16",82,4973.8,38,38,6,33,82,50,221,236,-15,8.6,90.3
"Flyers","PHI","18-19",82,4963.8,37,37,8,34,82,50,244,281,-37,9.3,89.5
"Devils","N.J","10-11",82,4975.9,38,39,5,35,81,49.4,174,209,-35,7.3,90.4
"Blue Jackets","CBJ","10-11",82,5011.6,34,35,13,29,81,49.4,215,258,-43,8.4,89.8
"Wild","MIN","11-12",82,5030.6,35,36,11,24,81,49.4,177,226,-49,7.6,91.6
"Sabres","BUF","15-16",82,4991.1,35,36,11,33,81,49.4,201,222,-21,8.2,91.4
"Panthers","FLA","16-17",82,5007.4,35,36,11,30,81,49.4,210,237,-27,7.8,91.1
"Canucks","VAN","18-19",82,5010,35,36,11,29,81,49.4,225,254,-29,9,90.5
"Thrashers","ATL","10-11",82,5012.8,34,36,12,29,80,48.8,223,269,-46,8.4,90.1
"Ducks","ANA","11-12",82,4986.9,34,36,12,31,80,48.8,204,231,-27,8.8,90.5
"Maple Leafs","TOR","11-12",82,4986.7,35,37,10,31,80,48.8,231,264,-33,9.8,89.8
"Islanders","NYI","17-18",82,4983.5,35,37,10,32,80,48.8,264,296,-32,10.1,90
"Ducks","ANA","18-19",82,4972,35,37,10,32,80,48.8,199,251,-52,8.6,90.9
"Islanders","NYI","11-12",82,4999.6,34,37,11,27,79,48.2,203,255,-52,8.1,89.8
"Islanders","NYI","13-14",82,5016,34,37,11,25,79,48.2,225,267,-42,8.5,89.4
"Stars","DAL","16-17",82,4960.1,34,37,11,33,79,48.2,223,262,-39,8.9,89.4
"Red Wings","DET","16-17",82,5018.6,33,36,13,24,79,48.2,207,244,-37,8.5,90.3
"Oilers","EDM","18-19",82,4967.6,35,38,9,32,79,48.2,232,274,-42,9.6,89.6
"Canadiens","MTL","11-12",82,5017.9,31,35,16,26,78,47.6,212,226,-14,8.8,91.2
"Devils","N.J","14-15",82,4998.1,32,36,14,27,78,47.6,181,216,-35,8.8,91.7
"Coyotes","ARI","15-16",82,4956.2,35,39,8,34,78,47.6,209,245,-36,9.2,90.4
"Jets","WPG","15-16",82,4971.4,35,39,8,32,78,47.6,215,239,-24,8.7,90.3
"Sabres","BUF","16-17",82,4984.9,33,37,12,31,78,47.6,201,237,-36,8,91.8
"Oilers","EDM","17-18",82,4976.5,36,40,6,31,78,47.6,234,263,-29,8.4,90.1
"Rangers","NYR","18-19",82,5002.7,32,36,14,26,78,47.6,227,272,-45,9.2,90.4
"Flames","CGY","13-14",82,4995,35,40,7,28,77,47,209,241,-32,9.2,89.9
"Flames","CGY","15-16",82,4973.2,35,40,7,33,77,47,231,260,-29,9.5,89.2
"Rangers","NYR","17-18",82,4979.5,34,39,9,31,77,47,231,268,-37,9,90.9
"Oilers","EDM","12-13",48,2923.7,19,22,7,17,45,46.9,125,134,-9,9.6,91.7
"Blue Jackets","CBJ","15-16",82,4985.3,34,40,8,28,76,46.3,219,252,-33,8.9,90.3
"Blackhawks","CHI","17-18",82,4966.3,33,39,10,32,76,46.3,229,256,-27,8.2,90.6
"Sabres","BUF","18-19",82,4994.4,33,39,10,28,76,46.3,226,271,-45,8.2,90.1
"Canucks","VAN","15-16",82,5004.4,31,38,13,26,75,45.7,191,243,-52,8,91
"Senators","OTT","10-11",82,4972,32,40,10,30,74,45.1,192,250,-58,8,90.4
"Oilers","EDM","11-12",82,4987.3,32,40,10,27,74,45.1,212,239,-27,9.5,90.8
"Red Wings","DET","18-19",82,4997,32,40,10,29,74,45.1,227,277,-50,9.4,90.1
"Islanders","NYI","10-11",82,5013.1,30,39,13,26,73,44.5,229,264,-35,9.3,90.2
"Canucks","VAN","17-18",82,4973,31,40,11,31,73,44.5,218,264,-46,8.8,90.2
"Red Wings","DET","17-18",82,4984,30,39,13,25,73,44.5,217,255,-38,8.5,90.3
"Panthers","FLA","10-11",82,5004.1,30,40,12,26,72,43.9,195,229,-34,7.7,91.5
"Devils","N.J","18-19",82,4984.4,31,41,10,28,72,43.9,222,275,-53,8.8,89.6
"Flames","CGY","12-13",48,2901.2,19,25,4,19,42,43.8,128,160,-32,9.9,88.9
"Hurricanes","CAR","12-13",48,2898.4,19,25,4,18,42,43.8,128,160,-32,8.2,89.7
"Hurricanes","CAR","14-15",82,4999,30,41,11,25,71,43.3,188,226,-38,7.3,90.2
"Canadiens","MTL","17-18",82,4979.7,29,40,13,27,71,43.3,209,264,-55,7.7,90.3
"Kings","L.A","18-19",82,4980.7,31,42,9,28,71,43.3,202,263,-61,8.4,90
"Predators","NSH","12-13",48,2929.4,16,23,9,14,41,42.7,111,139,-28,8.8,90
"Oilers","EDM","15-16",82,4981.9,31,43,8,27,70,42.7,203,245,-42,8.3,90.5
"Devils","N.J","16-17",82,4987.6,28,40,14,25,70,42.7,183,244,-61,7.9,90.6
"Coyotes","ARI","16-17",82,4985.8,30,42,10,24,70,42.7,197,260,-63,8.4,90.8
"Coyotes","ARI","17-18",82,4999.2,29,41,12,27,70,42.7,208,256,-48,8.4,90.5
"Maple Leafs","TOR","15-16",82,4996.5,29,42,11,23,69,42.1,198,246,-48,7.6,90.4
"Canucks","VAN","16-17",82,4979.6,30,43,9,26,69,42.1,182,243,-61,7.8,90.8
"Lightning","T.B","12-13",48,2904.3,18,26,4,17,40,41.7,148,150,-2,11.1,89.9
"Avalanche","COL","10-11",82,4990.5,30,44,8,24,68,41.5,227,288,-61,9.2,89
"Maple Leafs","TOR","14-15",82,4990,30,44,8,25,68,41.5,211,262,-51,8.6,90.6
"Oilers","EDM","13-14",82,4981.9,29,44,9,25,67,40.9,203,270,-67,9,90.1
"Senators","OTT","17-18",82,4985.1,28,43,11,26,67,40.9,221,291,-70,8.7,89.5
"Avalanche","COL","12-13",48,2930.5,16,25,7,14,39,40.6,116,152,-36,8.1,90.1
"Panthers","FLA","13-14",82,4996.9,29,45,8,21,66,40.2,196,268,-72,7.7,89.7
"Blue Jackets","CBJ","11-12",82,4973.8,29,46,7,25,65,39.6,202,262,-60,8.1,89.9
"Senators","OTT","18-19",82,4944.6,29,47,6,29,64,39,242,302,-60,10,89.7
"Oilers","EDM","10-11",82,4989.6,25,45,12,23,62,37.8,193,269,-76,8.7,90
"Oilers","EDM","14-15",82,5004.3,24,44,14,19,62,37.8,198,283,-85,8.3,88.8
"Sabres","BUF","17-18",82,4974,25,45,12,24,62,37.8,199,280,-81,7.7,89.6
"Panthers","FLA","12-13",48,2914.8,15,27,6,12,36,37.5,112,171,-59,7.8,88.6
"Coyotes","ARI","14-15",82,4995.4,24,50,8,19,56,34.1,170,272,-102,6.9,90.2
"Sabres","BUF","14-15",82,4990,23,51,8,15,54,32.9,161,274,-113,7.7,90.8
"Sabres","BUF","13-14",82,4994.5,21,51,10,14,52,31.7,157,248,-91,7,91.4
"Avalanche","COL","16-17",82,4953.8,22,56,4,21,48,29.3,166,278,-112,7.2,89.4
